,channel,title,description,pub_date,mp3_url,episode_url
308328,Ari Ari,ありっちゃありスパーク・マシュ009「澄（すみ）ふわ」,澄ふわは、本当に澄ふわなのか,2021-09-13,https://omocoro.heteml.net/radio/arimasyu/009/009mash.mp3,https://omocoro.jp/radio/308328/
306952,Ari Ari,ありっちゃありスパーク・マシュ008「マリトッツォ食べ食べラジオ」,マリトッツォをついに食べた！,2021-09-06,https://omocoro.heteml.net/radio/arimasyu/008/008mas.mp3,https://omocoro.jp/radio/306952/
305795,Ari Ari,ありっちゃありスパーク・マシュ007「娘も出演！？ 原宿のひとりスパーク」,またはひぐちくんの催眠術ドッキリに見る人生の一回性,2021-08-30,https://omocoro.heteml.net/radio/arimasyu/007/007mas.mp3,https://omocoro.jp/radio/305795/
304712,Ari Ari,ありっちゃありスパーク・マシュ006「宇宙の真理が分かってしまった夜」,もう分かる前には戻れない,2021-08-23,https://omocoro.heteml.net/radio/arimasyu/006/006mas.mp3,https://omocoro.jp/radio/304712/
303590,Ari Ari,ありっちゃありスパーク・マシュ005「退屈は犯罪ではございません」,一週間経ってもまだ言っている男,2021-08-16,https://omocoro.heteml.net/radio/arimasyu/005/005mas.mp3,https://omocoro.jp/radio/303590/
302934,Ari Ari,ありっちゃありスパーク・マシュ004「雷雨の中のグラサンの人について」,マシュ！のイラストの意味とは,2021-08-09,https://omocoro.heteml.net/radio/arimasyu/004/004mas.mp3,https://omocoro.jp/radio/302934/
301553,Ari Ari,ありっちゃありスパーク・マシュ003「娘にティアラを買えなかった男」,親から見たプレゼント、子供から見たプレゼント,2021-08-02,https://omocoro.heteml.net/radio/arimasyu/003/003mas.mp3,https://omocoro.jp/radio/301553/
300133,Ari Ari,ありっちゃありスパーク・マシュ002「ラーメンとは空気。中華そば多賀野を食べて」,ラーメンとは味なのか,2021-07-26,https://omocoro.heteml.net/radio/arimasyu/002/002mas.mp3,https://omocoro.jp/radio/300133/
298073,Ari Ari,ありっちゃありスパーク・マシュ001「マシュが始まる」,今日からマシュが始まります,2021-07-19,https://omocoro.heteml.net/radio/arimasyu/001/001mas.mp3,https://omocoro.jp/radio/298073/
296859,Ari Ari,ありっちゃありスパーク100「さらば、ありっちゃありスパーク」,でも来週からも新シリーズが続きます！,2021-07-12,https://omocoro.heteml.net/radio/arispa/100/100.mp3,https://omocoro.jp/radio/296859/
295897,Ari Ari,ありっちゃありスパーク099.5「あだ名禁止令に怒る男 ※緊急ゲスト・かんち」,来週こそ第100回を録るぞ！,2021-07-05,https://omocoro.heteml.net/radio/arispa/0995/0995.mp3,https://omocoro.jp/radio/295897/
294710,Ari Ari,ありっちゃありスパーク099「100回目前！ いる人をYeah！めっちゃ読むデイ」,もうすぐ100回！,2021-06-28,https://omocoro.heteml.net/radio/arispa/099/099.mp3,https://omocoro.jp/radio/294710/
